"id:ID","uri","uuid","label","name","ordinal","description","data_type","role","core","value_domain","code_list","code_list_uri"
"75","https://sdtm.d4k.dk/ig/AG/AGDECOD","b6eebb96-fe30-465f-85ab-67fd2a49880d","Standardized Agent Name","AGDECOD","11","Standardized or dictionary-derived text description of AGTRT or AGMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then AGDECOD will be left blank.","Char","Synonym Qualifier","Perm","","",""
"76","https://sdtm.d4k.dk/ig/AG/AGCAT","93708f8f-a938-4014-9fa0-2fd01be2bee2","Category for Agent","AGCAT","12","Used to define a category of agent. Examples: ""CHALLENGE AGENT"", ""PET TRACER"".","Char","Grouping Qualifier","Perm","","",""
"77","https://sdtm.d4k.dk/ig/AG/AGSCAT","d63e8ed5-f2b0-406f-88a4-d368cff3d12a","Subcategory for Agent","AGSCAT","13","Further categorization of agent.","Char","Grouping Qualifier","Perm","","",""
"78","https://sdtm.d4k.dk/ig/AG/AGPRESP","7e5f7331-e767-4c7d-9d5a-d0f538a7914e","AG Pre-Specified","AGPRESP","14","Used to indicate whether (""Y""/null) information about the use of a specific agent was solicited on the CRF.","Char","Variable Qualifier","Perm","","C66742","https://ct.d4k.dk/cdisc/dataset/sc/2013-10-04/send/C66742"
"79","https://sdtm.d4k.dk/ig/AG/AGOCCUR","55d60599-0b84-4eb1-871c-a1d568f63271","AG Occurrence","AGOCCUR","15","When the use of specific agent is solicited, AGOCCUR is used to indicate whether (""Y""/""N"") use of the agent occurred. Values are null for agents not specifically solicited.","Char","Record Qualifier","Perm","","C66742","https://ct.d4k.dk/cdisc/dataset/sc/2013-10-04/send/C66742"
"80","https://sdtm.d4k.dk/ig/AG/AGSTAT","74d6052c-a4b6-4e56-8e5a-c336a3091e85","Completion Status","AGSTAT","16","Used to indicate that a question about a prespecified agent was not answered. Should be null or have a value of ""NOT DONE"".","Char","Record Qualifier","Perm","","C66789","https://ct.d4k.dk/cdisc/dataset/sc/2019-09-27/send/C66789"
"81","https://sdtm.d4k.dk/ig/AG/AGREASND","59e7a9e0-66f8-4d13-81fe-0d8cc039fc8b","Reason Procedure Agent Not Collected","AGREASND","17","Describes the reason a response to a question about the occurrence of a procedure agent was not collected. Used in conjunction with AGSTAT when value is ""NOT DONE"".","Char","Record Qualifier","Perm","","",""
"82","https://sdtm.d4k.dk/ig/AG/AGCLAS","d3a5e49e-078f-468d-a755-abe4b09bf8cd","Agent Class","AGCLAS","18","Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLAS.","Char","Variable Qualifier","Perm","","",""
"83","https://sdtm.d4k.dk/ig/AG/AGCLASCD","5d6e0235-072e-4674-85a7-37c46f16e9e7","Agent Class Code","AGCLASCD","19","Class code corresponding to AGCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLASCD.","Char","Variable Qualifier","Perm","","",""
"84","https://sdtm.d4k.dk/ig/AG/AGDOSE","7eb0c4f4-d6b1-40b2-9cb4-958e6ccb35d9","Dose per Administration","AGDOSE","20","Amount of AGTRT taken.","Num","Record Qualifier","Perm","","",""
"85","https://sdtm.d4k.dk/ig/AG/AGDOSTXT","078283d4-67bb-48a5-b53f-3e6b767941cc","Dose Description","AGDOSTXT","21","Dosing amounts or a range of dosing information collected in text form. Units may be stored in AGDOSU. Examples: ""200-400"", ""15-20"".","Char","Record Qualifier","Perm","","",""
"86","https://sdtm.d4k.dk/ig/AG/AGDOSU","136be32f-a87e-4190-89f9-2dd4d48348e4","Dose Units","AGDOSU","22","Units for AGDOSE and AGDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".","Char","Variable Qualifier","Perm","","C71620","https://ct.d4k.dk/cdisc/dataset/sc/2012-12-21/sdtm/C71620"
"87","https://sdtm.d4k.dk/ig/AG/AGDOSFRM","e141fd48-f328-43a7-843f-94cffda77732","Dose Form","AGDOSFRM","23","Dose form for AGTRT. Examples: ""TABLET"", ""AEROSOL"".","Char","Variable Qualifier","Perm","","C66726","https://ct.d4k.dk/cdisc/dataset/sc/2019-06-28/sdtm/C66726"
"88","https://sdtm.d4k.dk/ig/AG/AGDOSFRQ","4f25e864-399e-4477-8c55-4d329feaeeb4","Dosing Frequency per Interval","AGDOSFRQ","24","Usually expressed as the number of repeated administrations of AGDOSE within a specific time period. Example: ""ONCE"".","Char","Record Qualifier","Perm","","C71113","https://ct.d4k.dk/cdisc/dataset/sc/2015-12-18/sdtm/C71113"
"89","https://sdtm.d4k.dk/ig/AG/AGROUTE","7273857d-324d-4859-9fd6-c98b6135e23c","Route of Administration","AGROUTE","25","Route of administration for AGTRT. Example: ""ORAL"".","Char","Variable Qualifier","Perm","","C66729","https://ct.d4k.dk/cdisc/dataset/sc/2020-12-18/send/C66729"
"90","https://sdtm.d4k.dk/ig/AG/VISITNUM","b26bcb86-7672-430a-be32-30aeabf64ba9","Visit Number","VISITNUM","26","1. Clinical encounter number. \n 2. Numeric version of VISIT, used for sorting.","Num","Timing","Exp","","",""
"91","https://sdtm.d4k.dk/ig/AG/VISIT","fd3272e4-3241-469c-9022-af0f34441c0c","Visit Name","VISIT","27","1. Protocol-defined description of clinical encounter. \n 2. May be used in addition to VISITNUM and/or VISITDY.","Char","Timing","Perm","","",""
"92","https://sdtm.d4k.dk/ig/AG/VISITDY","5ec8985d-9070-4c7a-9e1d-ff16cfdcaf4c","Planned Study Day of Visit","VISITDY","28","Planned study day of the visit based upon RFSTDTC in Demographics.","Num","Timing","Perm","","",""
"93","https://sdtm.d4k.dk/ig/AG/TAETORD","1ddef933-7866-4883-a6df-033c2a261b82","Planned Order of Element within Arm","TAETORD","29","Number that gives the planned order of the element within the arm for the element in which the agent administration started.","Num","Timing","Perm","","",""
"94","https://sdtm.d4k.dk/ig/AG/EPOCH","7511ae77-28a7-4446-8771-2a583deddad5","Epoch","EPOCH","30","Epoch associated with the start date/time of the agent administration started.","Char","Timing","Perm","","C99079","https://ct.d4k.dk/cdisc/dataset/sc/2019-09-27/sdtm/C99079"
"95","https://sdtm.d4k.dk/ig/AG/AGSTDTC","331d7caa-6fe8-46eb-8b34-a6c0e438b8ce","Start Date/Time of Agent","AGSTDTC","31","The date/time when administration of the treatment indicated by AGTRT and the dosing variables began.","Char","Timing","Perm","ISO 8601 datetime or interval","",""
"96","https://sdtm.d4k.dk/ig/AG/AGENDTC","c8c01397-a401-43c8-beac-2a1d2c949dc6","End Date/Time of Agent","AGENDTC","32","The date/time when administration of the treatment indicated by AGTRT and the dosing variables ended.","Char","Timing","Perm","ISO 8601 datetime or interval","",""
"97","https://sdtm.d4k.dk/ig/AG/AGSTDY","20053413-551d-4ee6-aaaa-b1fdd6084dd9","Study Day of Start of Agent","AGSTDY","33","Study day of start of agent relative to the sponsor-defined RFSTDTC.","Num","Timing","Perm","","",""
"98","https://sdtm.d4k.dk/ig/AG/AGENDY","d457273b-633a-4faf-a828-4c4375f88119","Study Day of End of Agent","AGENDY","34","Study day of end of agent relative to the sponsor-defined RFSTDTC.","Num","Timing","Perm","","",""
"99","https://sdtm.d4k.dk/ig/AG/AGDUR","7026a2fe-e43f-4fbb-86b9-fbf00eb609db","Duration of Agent","AGDUR","35","Collected duration for an agent episode. Used only if collected on the CRF and not derived from start and end date/times.","Char","Timing","Perm","ISO 8601 duration","",""
"100","https://sdtm.d4k.dk/ig/AG/AGSTRF","07f735a0-3a7b-4d20-a7f3-286dac982d3e","Start Relative to Reference Period","AGSTRF","36","Describes the start of the agent relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"101","https://sdtm.d4k.dk/ig/AG/AGENRF","94f3de46-001d-4637-ad71-ce572e870425","End Relative to Reference Period","AGENRF","37","Describes the end of the agent relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"102","https://sdtm.d4k.dk/ig/AG/AGSTRTPT","cae3ed9a-d9fc-4919-b500-f681a57b8966","Start Relative to Reference Time Point","AGSTRTPT","38","Identifies the start of the agent as being before or after the sponsor-defined reference time point defined by variable AGSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"103","https://sdtm.d4k.dk/ig/AG/AGSTTPT","b0019388-1126-49a2-9815-be69ae2ad4a0","Start Reference Time Point","AGSTTPT","39","Description or date/time in ISO 8601 character format of the reference point referred to by AGSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".","Char","Timing","Perm","","",""
"104","https://sdtm.d4k.dk/ig/AG/AGENRTPT","f37a5916-c023-4870-8f81-d79e0e84b855","End Relative to Reference Time Point","AGENRTPT","40","Identifies the end of the agent as being before or after the reference time point defined by variable AGENTPT. Identifies the end of the agent as being before or after the sponsor-defined reference time point defined by variable AGENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"105","https://sdtm.d4k.dk/ig/AG/AGENTPT","f4232ce9-97d0-4e7a-825d-b985b774c695","End Reference Time Point","AGENTPT","41","Description or date/time in ISO 8601 character format of the reference point referred to by AGENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".","Char","Timing","Perm","","",""
"106","https://sdtm.d4k.dk/ig/CM/STUDYID","e785d28a-b56b-483a-8dc1-3b4072d81211","Study Identifier","STUDYID","1","Unique identifier for a study.","Char","Identifier","Req","","",""
"107","https://sdtm.d4k.dk/ig/CM/DOMAIN","d55136f0-218b-46cb-a67d-306fc2c64145","Domain Abbreviation","DOMAIN","2","Two-character abbreviation for the domain.","Char","Identifier","Req","","",""
"108","https://sdtm.d4k.dk/ig/CM/USUBJID","4ac1782b-abad-4a74-9a16-fc31fb1e9934","Unique Subject Identifier","USUBJID","3","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Char","Identifier","Req","","",""
"109","https://sdtm.d4k.dk/ig/CM/CMSEQ","85ad56cc-04d6-404f-a0ff-3915b08ed8f9","Sequence Number","CMSEQ","4","Sequence number to ensure uniqueness of subject records within a domain. May be any valid number.","Num","Identifier","Req","","",""
"110","https://sdtm.d4k.dk/ig/CM/CMGRPID","8a3279a6-a473-4a7b-97e8-12dfdcbbab37","Group ID","CMGRPID","5","Used to tie together a block of related records in a single domain for a subject.","Char","Identifier","Perm","","",""
"111","https://sdtm.d4k.dk/ig/CM/CMSPID","e1e76cb7-1f28-4de6-9556-fdbfd6dd16ce","Sponsor-Defined Identifier","CMSPID","6","Sponsor-defined reference number. Example: a number preprinted on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.","Char","Identifier","Perm","","",""
"112","https://sdtm.d4k.dk/ig/CM/CMTRT","c8d5ff24-60bf-4c1e-be4d-bce0c6503510","Reported Name of Drug, Med, or Therapy","CMTRT","7","Verbatim medication name that is either preprinted or collected on a CRF.","Char","Topic","Req","","",""
"113","https://sdtm.d4k.dk/ig/CM/CMMODIFY","f5a86169-37bc-448b-9656-6ebb5a88a31d","Modified Reported Name","CMMODIFY","8","If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.","Char","Synonym Qualifier","Perm","","",""
"114","https://sdtm.d4k.dk/ig/CM/CMDECOD","22b41b03-cf37-412e-8d99-7c8230986d72","Standardized Medication Name","CMDECOD","9","Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic drug name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then CMDECOD will be left blank.","Char","Synonym Qualifier","Perm","","",""
"115","https://sdtm.d4k.dk/ig/CM/CMCAT","765de0b3-6c54-49b5-8b64-0288fad5c6ca","Category for Medication","CMCAT","10","Used to define a category of medications/treatment. Examples: ""PRIOR"", ""CONCOMITANT"", ""ANTI-CANCER MEDICATION"", ""GENERAL CONMED"".","Char","Grouping Qualifier","Perm","","",""
"116","https://sdtm.d4k.dk/ig/CM/CMSCAT","64cf1e3c-978d-4308-886d-520a9e2dfb0d","Subcategory for Medication","CMSCAT","11","A further categorization of medications/treatment. Examples: ""CHEMOTHERAPY"", ""HORMONAL THERAPY"", ""ALTERNATIVE THERAPY"".","Char","Grouping Qualifier","Perm","","",""
"117","https://sdtm.d4k.dk/ig/CM/CMPRESP","32f6f00e-17e4-448b-8f28-8c74feee401e","CM Pre-specified","CMPRESP","12","Used to indicate whether (""Y""/null) information about the use of a specific medication was solicited on the CRF.","Char","Variable Qualifier","Perm","","C66742","https://ct.d4k.dk/cdisc/dataset/sc/2013-10-04/send/C66742"
"118","https://sdtm.d4k.dk/ig/CM/CMOCCUR","c05b8648-5ae0-4d55-b39c-ba021ffadf4f","CM Occurrence","CMOCCUR","13","When the use of a specific medication is solicited. CMOCCUR is used to indicate whether (""Y""/""N"") use of the medication occurred. Values are null for medications not specifically solicited.","Char","Record Qualifier","Perm","","C66742","https://ct.d4k.dk/cdisc/dataset/sc/2013-10-04/send/C66742"
"119","https://sdtm.d4k.dk/ig/CM/CMSTAT","d2bd0abf-69c6-402b-b94d-94862a93c70b","Completion Status","CMSTAT","14","Used to indicate that a question about the occurrence of a prespecified intervention was not answered. Should be null or have a value of ""NOT DONE"".","Char","Record Qualifier","Perm","","C66789","https://ct.d4k.dk/cdisc/dataset/sc/2019-09-27/send/C66789"
"120","https://sdtm.d4k.dk/ig/CM/CMREASND","263fd103-951f-4cb3-9928-4ebe77e2bbf0","Reason Medication Not Collected","CMREASND","15","Reason not done. Used in conjunction with CMSTAT when value is ""NOT DONE"".","Char","Record Qualifier","Perm","","",""
"121","https://sdtm.d4k.dk/ig/CM/CMINDC","31bace28-6aa2-4dbe-b2d7-0ecc41181be7","Indication","CMINDC","16","Denotes why a medication was taken or administered. Examples: ""NAUSEA"", ""HYPERTENSION"".","Char","Record Qualifier","Perm","","",""
"122","https://sdtm.d4k.dk/ig/CM/CMCLAS","fde44c66-7ca1-4b87-9256-3455bd2c3c10","Medication Class","CMCLAS","17","Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLAS.","Char","Variable Qualifier","Perm","","",""
"123","https://sdtm.d4k.dk/ig/CM/CMCLASCD","8bb1114b-30a1-46d8-8ff0-46df5cb8f6cb","Medication Class Code","CMCLASCD","18","Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLASCD.","Char","Variable Qualifier","Perm","","",""
"124","https://sdtm.d4k.dk/ig/CM/CMDOSE","6912542b-c75d-4c51-ae9c-9cfaf7aa7266","Dose per Administration","CMDOSE","19","Amount of CMTRT given. Not populated when CMDOSTXT is populated.","Num","Record Qualifier","Perm","","",""
"125","https://sdtm.d4k.dk/ig/CM/CMDOSTXT","67258a74-181f-4ca6-86dc-96018a3fffba","Dose Description","CMDOSTXT","20","Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Examples: ""200-400"", ""15-20"". Not populated when CMDOSE is populated.","Char","Record Qualifier","Perm","","",""
"126","https://sdtm.d4k.dk/ig/CM/CMDOSU","b98bf241-6fc9-4873-965b-8006eeb4a4bc","Dose Units","CMDOSU","21","Units for CMDOSE, CMDOSTOT, or CMDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg"".","Char","Variable Qualifier","Perm","","C71620","https://ct.d4k.dk/cdisc/dataset/sc/2012-12-21/sdtm/C71620"
"127","https://sdtm.d4k.dk/ig/CM/CMDOSFRM","1748c48e-e8f1-4530-a8c1-e5f504210a1d","Dose Form","CMDOSFRM","22","Dose form for CMTRT. Examples: ""TABLET"", ""LOTION"".","Char","Variable Qualifier","Perm","","C66726","https://ct.d4k.dk/cdisc/dataset/sc/2019-06-28/sdtm/C66726"
"128","https://sdtm.d4k.dk/ig/CM/CMDOSFRQ","ee443e1b-444f-42a4-b3a9-dc5ccee78e64","Dosing Frequency per Interval","CMDOSFRQ","23","Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: ""BID"" (twice daily), ""Q12H"" (every 12 hours).","Char","Record Qualifier","Perm","","C71113","https://ct.d4k.dk/cdisc/dataset/sc/2015-12-18/sdtm/C71113"
"129","https://sdtm.d4k.dk/ig/CM/CMDOSTOT","ac51ce7c-325a-4282-b3fb-2e5b2379f589","Total Daily Dose","CMDOSTOT","24","Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as total daily dose. Total dose over a period other than day could be recorded in a separate supplemental qualifier variable.","Num","Record Qualifier","Perm","","",""
"130","https://sdtm.d4k.dk/ig/CM/CMDOSRGM","539aacc4-e917-4a11-bf35-6b7db88372cc","Intended Dose Regimen","CMDOSRGM","25","Text description of the (intended) schedule or regimen for the Intervention. Example: ""TWO WEEKS ON, TWO WEEKS OFF"".","Char","Record Qualifier","Perm","","",""
"131","https://sdtm.d4k.dk/ig/CM/CMROUTE","d0f84df6-c015-47d2-af49-e660f8f13d58","Route of Administration","CMROUTE","26","Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS"".","Char","Variable Qualifier","Perm","","C66729","https://ct.d4k.dk/cdisc/dataset/sc/2020-12-18/send/C66729"
"132","https://sdtm.d4k.dk/ig/CM/CMADJ","fc2f6727-8c43-4f53-970e-6e1e55de9ae3","Reason for Dose Adjustment","CMADJ","27","Describes reason or explanation of why a dose is adjusted. Examples: ""ADVERSE EVENT"", ""INSUFFICIENT RESPONSE"", ""NON-MEDICAL REASON"".","Char","Record Qualifier","Perm","","",""
"133","https://sdtm.d4k.dk/ig/CM/CMRSDISC","da89d062-beff-4761-9fbd-4f535091739b","Reason the Intervention Was Discontinued","CMRSDISC","28","When dosing of a treatment is recorded over multiple successive records, this variable is applicable only for the (chronologically) last record for the treatment.","Char","Record Qualifier","Perm","","",""
"134","https://sdtm.d4k.dk/ig/CM/TAETORD","14754b15-a69f-4548-b178-3ac6a7018b13","Planned Order of Element within Arm","TAETORD","29","Number that gives the planned order of the element within the arm for the element in which the medication administration started. Null for medications that started before study participation.","Num","Timing","Perm","","",""
"135","https://sdtm.d4k.dk/ig/CM/EPOCH","4f2087a1-e24d-4e4c-98c3-7f0ba4c59967","Epoch","EPOCH","30","Epoch associated with the start date/time of the medication administration. Null for medications that started before study participation.","Char","Timing","Perm","","C99079","https://ct.d4k.dk/cdisc/dataset/sc/2019-09-27/sdtm/C99079"
"136","https://sdtm.d4k.dk/ig/CM/CMSTDTC","84c21e23-be21-4cab-b56a-f809e25fce63","Start Date/Time of Medication","CMSTDTC","31","Start date/time of the medication administration represented in ISO 8601 character format.","Char","Timing","Perm","ISO 8601 datetime or interval","",""
"137","https://sdtm.d4k.dk/ig/CM/CMENDTC","14d267fc-9173-45da-8c6d-ae502b03911c","End Date/Time of Medication","CMENDTC","32","End date/time of the medication administration represented in ISO 8601 character format.","Char","Timing","Perm","ISO 8601 datetime or interval","",""
"138","https://sdtm.d4k.dk/ig/CM/CMSTDY","38b85410-8ca9-450e-a072-f7dc9a5d8772","Study Day of Start of Medication","CMSTDY","33","Study day of start of medication relative to the sponsor-defined RFSTDTC.","Num","Timing","Perm","","",""
"139","https://sdtm.d4k.dk/ig/CM/CMENDY","6bd7a77c-05f8-46cd-9e0f-61078ed641b3","Study Day of End of Medication","CMENDY","34","Study day of end of medication relative to the sponsor-defined RFSTDTC.","Num","Timing","Perm","","",""
"140","https://sdtm.d4k.dk/ig/CM/CMDUR","98542719-9c8c-48a2-9177-a10344aec60e","Duration","CMDUR","35","Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.","Char","Timing","Perm","ISO 8601 duration","",""
"141","https://sdtm.d4k.dk/ig/CM/CMSTRF","b95ceb89-0d1e-4003-9996-12ce4f88bee3","Start Relative to Reference Period","CMSTRF","36","Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"" was collected, this information may be translated into CMSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"142","https://sdtm.d4k.dk/ig/CM/CMENRF","73f87927-5eee-4b65-b8d3-672a9cf9a87c","End Relative to Reference Period","CMENRF","37","Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING, or ""CONTINUING"" was collected, this information may be translated into CMENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"143","https://sdtm.d4k.dk/ig/CM/CMSTRTPT","1b9d4537-9814-46ee-97fd-38b40923e902","Start Relative to Reference Time Point","CMSTRTPT","38","Identifies the start of the medication as being before or after the sponsor-defined reference time point defined by variable CMSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"144","https://sdtm.d4k.dk/ig/CM/CMSTTPT","674777e4-c4eb-484b-a5a6-aa1e6ce715b8","Start Reference Time Point","CMSTTPT","39","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMSTRTPT. Examples: ""2003-12-15"", ""VISIT 1"".","Char","Timing","Perm","","",""
"145","https://sdtm.d4k.dk/ig/CM/CMENRTPT","db3dc92d-47c0-4b4b-a4ae-19c72a7e94c3","End Relative to Reference Time Point","CMENRTPT","40","Identifies the end of the medication as being before or after the sponsor-defined reference time point defined by variable CMENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables.","Char","Timing","Perm","","C66728","https://ct.d4k.dk/cdisc/dataset/sc/2020-11-06/sdtm/C66728"
"146","https://sdtm.d4k.dk/ig/CM/CMENTPT","b3484d14-3161-4220-a756-ccf97a112c1d","End Reference Time Point","CMENTPT","41","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by CMENRTPT. Examples: ""2003-12-25"", ""VISIT 2"".","Char","Timing","Perm","","",""
"147","https://sdtm.d4k.dk/ig/EC/STUDYID","dd6171ed-3178-4b4a-835d-4b884168f442","Study Identifier","STUDYID","1","Unique identifier for a study.","Char","Identifier","Req","","",""
"148","https://sdtm.d4k.dk/ig/EC/DOMAIN","d8d53d71-7dbd-44b1-8c03-e5f7d2f66107","Domain Abbreviation","DOMAIN","2","Two-character abbreviation for the domain.","Char","Identifier","Req","","",""
"149","https://sdtm.d4k.dk/ig/EC/USUBJID","1a2676a6-5621-4939-ba4f-ae9a5565f544","Unique Subject Identifier","USUBJID","3","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Char","Identifier","Req","","",""
"150","https://sdtm.d4k.dk/ig/EC/ECSEQ","938bbaa6-2e91-4421-ac64-2b9be595cd1f","Sequence Number","ECSEQ","4","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Num","Identifier","Req","","",""
"151","https://sdtm.d4k.dk/ig/EC/ECGRPID","7f0879f0-789a-4bed-95a2-74adc0127163","Group ID","ECGRPID","5","Used to tie together a block of related records in a single domain for a subject.","Char","Identifier","Perm","","",""
"152","https://sdtm.d4k.dk/ig/EC/ECREFID","14203f1b-ce64-42cb-8aa0-fdc5e8b84518","Reference ID","ECREFID","6","Internal or external identifier (e.g., kit number, bottle label, vial identifier).","Char","Identifier","Perm","","",""
"153","https://sdtm.d4k.dk/ig/EC/ECSPID","d7f24cd3-842a-4d70-b7ac-81a6c91180fe","Sponsor-Defined Identifier","ECSPID","7","Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.","Char","Identifier","Perm","","",""
